x-axis,1,2,3
second,Volt,Volt,Volt
+9.8000000E-03,+569.0958E-06,-1.0809673053E+00,+1.7126413299E+00
+9.8001600E-03,+782.6637E-06,-1.0715451948E+00,+1.7127669580E+00
+9.8003200E-03,+971.1059E-06,-1.0715451948E+00,+1.7126413299E+00
+9.8004800E-03,+1.1846737E-03,-1.0715451948E+00,+1.7127669580E+00
+9.8006400E-03,+1.1595481E-03,-1.0822235867E+00,+1.7137091691E+00
+9.8008000E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8009600E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8011200E-03,+757.5380E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8012800E-03,+782.6637E-06,-1.0809673053E+00,+1.7137091691E+00
+9.8014400E-03,+971.1059E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8016000E-03,+971.1059E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8017600E-03,+971.1059E-06,-1.0608668030E+00,+1.7147770083E+00
+9.8019200E-03,+757.5380E-06,-1.0621230844E+00,+1.7146513801E+00
+9.8020800E-03,+569.0958E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8022400E-03,+996.2315E-06,-1.0916456971E+00,+1.7126413299E+00
+9.8024000E-03,+1.1595481E-03,-1.0809673053E+00,+1.7127669580E+00
+9.8025600E-03,+971.1059E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8027200E-03,+757.5380E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8028800E-03,+782.6637E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8030400E-03,+757.5380E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8032000E-03,+782.6637E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8033600E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8035200E-03,+971.1059E-06,-1.0916456971E+00,+1.7126413299E+00
+9.8036800E-03,+971.1059E-06,-1.0916456971E+00,+1.7116991188E+00
+9.8038400E-03,+757.5380E-06,-1.0916456971E+00,+1.7127669580E+00
+9.8040000E-03,+782.6637E-06,-1.0809673053E+00,+1.7137091691E+00
+9.8041600E-03,+971.1059E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8043200E-03,+971.1059E-06,-1.0916456971E+00,+1.7126413299E+00
+9.8044800E-03,+971.1059E-06,-1.0809673053E+00,+1.7127669580E+00
+9.8046400E-03,+757.5380E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8048000E-03,+569.0958E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8049600E-03,+782.6637E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8051200E-03,+1.1846737E-03,-1.0809673053E+00,+1.7137091691E+00
+9.8052800E-03,+1.1595481E-03,-1.0822235867E+00,+1.7126413299E+00
+9.8054400E-03,+971.1059E-06,-1.0916456971E+00,+1.7116991188E+00
+9.8056000E-03,+757.5380E-06,-1.0916456971E+00,+1.7127669580E+00
+9.8057600E-03,+569.0958E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8059200E-03,+569.0958E-06,-1.0809673053E+00,+1.7137091691E+00
+9.8060800E-03,+569.0958E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8062400E-03,+782.6637E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8064000E-03,+757.5380E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8065600E-03,+782.6637E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8067200E-03,+971.1059E-06,-1.0916456971E+00,+1.7126413299E+00
+9.8068800E-03,+971.1059E-06,-1.0809673053E+00,+1.7127669580E+00
+9.8070400E-03,+971.1059E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8072000E-03,+971.1059E-06,-1.0916456971E+00,+1.7137091691E+00
+9.8073600E-03,+971.1059E-06,-1.0809673053E+00,+1.7137091691E+00
+9.8075200E-03,+757.5380E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8076800E-03,+996.2315E-06,-1.0809673053E+00,+1.7137091691E+00
+9.8078400E-03,+945.9803E-06,-1.0715451948E+00,+1.7137091691E+00
+9.8080000E-03,+782.6637E-06,-1.0822235867E+00,+1.7137091691E+00
+9.8081600E-03,+971.1059E-06,-1.0809673053E+00,+1.7137091691E+00
