x-axis,1,2,3
second,Volt,Volt,Volt
+11.03200000E-03,+417.08630E-06,-689.47861635E-03,+70.59258773E-03
+11.03203200E-03,+592.96569E-06,-691.99117913E-03,+70.60515054E-03
+11.03206400E-03,+819.09634E-06,-680.68464659E-03,+70.88153245E-03
+11.03209600E-03,+819.09634E-06,-680.68464659E-03,+70.74334149E-03
+11.03212800E-03,+819.09634E-06,-680.68464659E-03,+71.12022591E-03
+11.03216000E-03,+643.21695E-06,-680.68464659E-03,+70.93178370E-03
+11.03219200E-03,+417.08630E-06,-689.47861635E-03,+70.51721084E-03
+11.03222400E-03,+592.96569E-06,-691.99117913E-03,+70.59258773E-03
+11.03225600E-03,+819.09634E-06,-680.68464659E-03,+70.51721084E-03
+11.03228800E-03,+643.21695E-06,-680.68464659E-03,+70.85640682E-03
+11.03232000E-03,+592.96569E-06,-689.47861635E-03,+70.76846712E-03
+11.03235200E-03,+819.09634E-06,-691.99117913E-03,+70.91922089E-03
+11.03238400E-03,+643.21695E-06,-680.68464659E-03,+71.34635656E-03
+11.03241600E-03,+417.08630E-06,-680.68464659E-03,+70.93178370E-03
+11.03244800E-03,+417.08630E-06,-680.68464659E-03,+70.60515054E-03
+11.03248000E-03,+417.08630E-06,-671.89067683E-03,+70.96947214E-03
+11.03251200E-03,+417.08630E-06,-669.37811406E-03,+71.03228621E-03
+11.03254400E-03,+417.08630E-06,-680.68464659E-03,+70.99459777E-03
+11.03257600E-03,+417.08630E-06,-680.68464659E-03,+70.91922089E-03
+11.03260800E-03,+417.08630E-06,-680.68464659E-03,+71.25841687E-03
+11.03264000E-03,+592.96569E-06,-680.68464659E-03,+71.08253747E-03
+11.03267200E-03,+819.09634E-06,-680.68464659E-03,+70.76846712E-03
+11.03270400E-03,+643.21695E-06,-680.68464659E-03,+70.91922089E-03
+11.03273600E-03,+592.96569E-06,-680.68464659E-03,+71.25841687E-03
+11.03276800E-03,+819.09634E-06,-680.68464659E-03,+70.81871838E-03
+11.03280000E-03,+819.09634E-06,-680.68464659E-03,+70.69309024E-03
+11.03283200E-03,+643.21695E-06,-680.68464659E-03,+70.90665807E-03
+11.03286400E-03,+417.08630E-06,-680.68464659E-03,+70.54233647E-03
+11.03289600E-03,+592.96569E-06,-680.68464659E-03,+71.00716059E-03
+11.03292800E-03,+643.21695E-06,-680.68464659E-03,+71.01972340E-03
+11.03296000E-03,+592.96569E-06,-680.68464659E-03,+70.80615556E-03
+11.03299200E-03,+643.21695E-06,-680.68464659E-03,+71.08253747E-03
+11.03302400E-03,+592.96569E-06,-680.68464659E-03,+70.68052742E-03
+11.03305600E-03,+643.21695E-06,-680.68464659E-03,+70.89409526E-03
+11.03308800E-03,+417.08630E-06,-689.47861636E-03,+71.37148219E-03
+11.03312000E-03,+592.96569E-06,-691.99117912E-03,+70.81871838E-03
+11.03315200E-03,+643.21695E-06,-680.68464659E-03,+70.69309024E-03
+11.03318400E-03,+592.96569E-06,-680.68464659E-03,+71.43429626E-03
+11.03321600E-03,+819.09634E-06,-680.68464659E-03,+71.30866812E-03
+11.03324800E-03,+819.09634E-06,-680.68464659E-03,+70.94434652E-03
+11.03328000E-03,+643.21695E-06,-680.68464659E-03,+71.05741184E-03
+11.03331200E-03,+241.20690E-06,-680.68464659E-03,+71.23329124E-03
+11.03334400E-03,+542.71444E-06,-680.68464659E-03,+70.93178370E-03
+11.03337600E-03,+1.04522699E-03,-680.68464659E-03,+70.34133145E-03
+11.03340800E-03,+819.09634E-06,-680.68464659E-03,+70.45439677E-03
+11.03344000E-03,+819.09634E-06,-680.68464659E-03,+70.80615556E-03
+11.03347200E-03,+994.97574E-06,-680.68464659E-03,+71.25841687E-03
+11.03350400E-03,+1.04522699E-03,-680.68464659E-03,+71.08253747E-03
+11.03353600E-03,+643.21695E-06,-680.68464659E-03,+70.85640682E-03
+11.03356800E-03,+592.96569E-06,-671.89067682E-03,+71.12022591E-03
+11.03360000E-03,+819.09634E-06,-669.37811407E-03,+71.28354249E-03
+11.03363200E-03,+643.21695E-06,-680.68464659E-03,+70.79359275E-03
+11.03366400E-03,+417.08630E-06,-689.47861636E-03,+70.54233647E-03
+11.03369600E-03,+592.96569E-06,-691.99117912E-03,+70.91922089E-03
+11.03372800E-03,+643.21695E-06,-680.68464659E-03,+71.08253747E-03
+11.03376000E-03,+417.08630E-06,-680.68464659E-03,+70.76846712E-03
+11.03379200E-03,+417.08630E-06,-680.68464659E-03,+70.74334149E-03
+11.03382400E-03,+417.08630E-06,-680.68464659E-03,+70.85640682E-03
+11.03385600E-03,+417.08630E-06,-680.68464659E-03,+70.68052742E-03
+11.03388800E-03,+417.08630E-06,-680.68464659E-03,+70.71821587E-03
+11.03392000E-03,+768.84509E-06,-680.68464659E-03,+71.05741184E-03
+11.03395200E-03,+1.22110639E-03,-680.68464659E-03,+70.96947214E-03
+11.03398400E-03,+1.04522699E-03,-680.68464659E-03,+71.12022591E-03
+11.03401600E-03,+819.09634E-06,-689.47861637E-03,+70.84384400E-03
+11.03404800E-03,+819.09634E-06,-691.99117911E-03,+70.31620582E-03
+11.03408000E-03,+819.09634E-06,-680.68464659E-03,+70.74334149E-03
+11.03411200E-03,+643.21695E-06,-680.68464659E-03,+70.68052742E-03
+11.03414400E-03,+417.08630E-06,-680.68464659E-03,+70.71821587E-03
+11.03417600E-03,+417.08630E-06,-689.47861637E-03,+71.05741184E-03
+11.03420800E-03,+241.20690E-06,-691.99117911E-03,+70.79359275E-03
+11.03424000E-03,+190.95565E-06,-680.68464659E-03,+70.54233647E-03
+11.03427200E-03,+417.08630E-06,-680.68464659E-03,+70.83128119E-03
+11.03430400E-03,+592.96569E-06,-680.68464659E-03,+70.88153245E-03
+11.03433600E-03,+819.09634E-06,-680.68464659E-03,+70.56746210E-03
+11.03436800E-03,+819.09634E-06,-671.89067681E-03,+70.54233647E-03
+11.03440000E-03,+643.21695E-06,-669.37811407E-03,+70.74334149E-03
